date,price_usd,inr_per_usd,gold_price_inr,fed_intrest_rate,inflation_yoy,gold_return_1d,inr_change_1d,gold_inr_return_1d
1980-07-01,460.8,7.7664,3578.75712,9.03,13.15068493150684,-3.9399624765478425,-0.9690910945628795,-4.870871745621375
1980-08-01,409.3,7.7824,3185.33632,9.61,12.890094979647216,-11.176215277777779,0.20601565718993964,-10.993224373941313
1980-09-01,410.2,7.7495,3178.8449,10.87,12.768817204301076,0.21988761299780446,-0.42274876644736725,-0.20379072562107803
1980-10-01,443.8,7.7323,3431.5947400000005,12.81,12.632978723404252,8.191126279863493,-0.2219498032131062,7.9509962879912965
1980-11-01,437.8,7.7712,3402.23136,15.85,12.631578947368416,-1.3519603424966165,0.5030844638723275,-0.8556773810651119
1980-12-01,413.4,7.9314,3278.84076,18.9,12.353706111833551,-5.5733211512106084,2.0614576899320447,-3.6267551187347924
1981-01-01,410.1,7.9576,3263.4117600000004,19.08,11.794871794871796,-0.7982583454281489,0.33033260206269954,-0.4705626509290961
1981-02-01,384.1,8.2211,3157.72451,15.93,11.392405063291132,-6.339917093391856,3.311299889413899,-3.23855087168039
1981-03-01,374.1,8.2432,3083.78112,14.7,10.611735330836458,-2.6034886748242614,0.26882047414580335,-2.3416669112784616
1981-04-01,330.3,8.2918,2738.7815400000004,15.72,10.13597033374536,-11.708099438652763,0.5895768633540355,-11.187550820727498
1981-05-01,350.3,8.4045,2944.0963500000003,18.52,9.79192166462668,6.055101422948828,1.3591741238331956,7.496574918494581
1981-06-01,333.8,8.5564,2856.1263200000003,19.1,9.696969696969692,-4.710248358549817,1.8073651020286796,-2.988014641572445
1981-07-01,315.0,8.9065,2805.5474999999997,19.04,10.774818401937058,-5.632115038945484,4.09167406853348,-1.7708887609705126
1981-08-01,339.0,9.0605,3071.5094999999997,17.82,10.817307692307686,7.619047619047614,1.7290742715993845,9.479860882768865
